URI,Label,Description,Type
http://w3id.org/fio/v1/epa-frs#HealthSafetyProgram,HEALTH AND SAFETY PROGRAMS,"PROGRAMS DESIGNED TO REDUCE HAZARDS AND PREVENT INJURIES, ILLNESSES AND DEATHS IN THE WORKPLACE.",Class
http://w3id.org/fio/v1/epa-frs#LegacySystem,Legacy System,Older information system maintained for historical environmental data,Class
http://w3id.org/fio/v1/epa-frs#LegalEnforcementActivities,LEGAL/ENFORCEMENT ACTIVITIES,LEGAL OR ENFORCEMENT ACTIVITIES IN SUPPORT OF OTHER ENVIRONMENTAL PROGRAMS.,Class
http://w3id.org/fio/v1/epa-frs#MonitoringRecord,Monitoring Record,A record that monitors a facility on an ongoing basis,Class
http://w3id.org/fio/v1/epa-frs#PermitInterest,Permit Interest,Environmental Interests that create records that are permits or licenses,Class
http://w3id.org/fio/v1/epa-frs#PermitRecord,Permit or license record,A record that tracks a permit or license awarded to the facility,Class
http://w3id.org/fio/v1/epa-frs#PermitSystem,Permit System,Information system for managing environmental permits and licenses,Class
http://w3id.org/fio/v1/epa-frs#PesticidesProgram,PESTICIDES PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT MONITOR BUSINESSES, GOVERNMENT AGENCIES, AND INDIVIDUALS THAT HANDLE, STORE, SELL, AND/OR APPLY PESITICIDES.",Class
http://w3id.org/fio/v1/epa-frs#ProgramInformationSystem,Program Information System,An Information System maintained for an environmental program,Class
http://w3id.org/fio/v1/epa-frs#ProjectRecord,Project Record,A record documenting an environmental project or initiative,Class
http://w3id.org/fio/v1/epa-frs#ProjectSystem,Project System,Information system for tracking environmental projects,Class
http://w3id.org/fio/v1/epa-frs#RadiationProtectionProgram,RADIATION PROTECTION PROGRAMS,ENVIRONMENTAL PROGRAMS DESIGNED TO PROTECT PEOPLE AND THE ENVIRONMENT FROM HARMFUL EXPOSURE TO RADIATION,Class
http://w3id.org/fio/v1/epa-frs#Record,Facility Record,A record in an environmental program information system about a facility or site,Class
http://w3id.org/fio/v1/epa-frs#RegistrationRecord,Registration Record,A record documenting facility registration with an environmental program,Class
http://w3id.org/fio/v1/epa-frs#RegistryInterest,Registry Interest,Environmental interest classification for facility registry and identification,Class
http://w3id.org/fio/v1/epa-frs#RegistrySystem,Registry System,Information system for maintaining facility identification and basic information,Class
http://w3id.org/fio/v1/epa-frs#RemediationRedevelopmentProgram,REMEDIATION AND REDEVELOPMENT PROGRAMS,ENVIRONMENTAL PROGRAMS AIMED AT CLEANING UP AND/OR REDEVELOPING UNCONTROLLED OR ABANDONED PLACES WHERE HAZARDOUS WASTE MAY BE LOCATED POSSIBLY AFFECTING LOCAL ECOSYSTEMS OR PEOPLE.,Class
http://w3id.org/fio/v1/epa-frs#ReportingInterest,Reporting Interest,Environmental interest classification for reporting requirements,Class
http://w3id.org/fio/v1/epa-frs#ReportingRecord,Reporting Record,A record documenting reported environmental data or information,Class
http://w3id.org/fio/v1/epa-frs#ReportingSystem,Reporting System,Information system for collecting and managing environmental reports,Class
http://w3id.org/fio/v1/epa-frs#RiskInterest,Risk Interest,Environmental interest classification for risk assessment and management,Class
http://w3id.org/fio/v1/epa-frs#RiskPlanRecord,Risk Plan Record,A record documenting risk management or prevention plans for a facility,Class
http://w3id.org/fio/v1/epa-frs#SiteInterest,Site Interest,Environmental interest classification for site-level monitoring and assessment,Class
http://w3id.org/fio/v1/epa-frs#SiteRecord,Site Record,"A record that monitors a site, beyond specific ownership of one organization and their activities, e.g. superfund site, air monitoring site",Class
http://w3id.org/fio/v1/epa-frs#SiteSystem,Site System,Information system for tracking environmental sites and their characteristics,Class
http://w3id.org/fio/v1/epa-frs#SolidWasteProgram,SOLID WASTE PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT REGULATE SOLID WASTES (E.G., COMPOST SITES, LANDFILLS, TRANSFER STATIONS).",Class
http://w3id.org/fio/v1/epa-frs#StateSystem,State System,State-level information system for environmental program management,Class
http://w3id.org/fio/v1/epa-frs#StateTrackingRecord,State Tracking Record,A record maintained by state environmental agencies,Class
http://w3id.org/fio/v1/epa-frs#StationSystem,Station System,Information system for environmental monitoring stations,Class
http://w3id.org/fio/v1/epa-frs#SupplementalRecord,Facility Supplemental Record,"Supplemental Record that relates to a facility but primarily identifies something other than the facility itself (e.g. permit, license, incident, enforcement action records)",Class
http://w3id.org/fio/v1/epa-frs#TribalSystem,Tribal System,Tribal government information system for environmental program management,Class
http://w3id.org/fio/v1/epa-frs#TribalTrackingRecord,Tribal Tracking Record,A record maintained by tribal environmental agencies,Class
http://w3id.org/fio/v1/epa-frs#UndergroundStorageTankProgram,UNDERGROUND STORAGE TANK PROGRAMS,"ENVIRONMENTAL PROGRAMS DESIGNED TO REDUCE THE CHANCE OF RELEASES FROM UNDERGROUND STORAGE TANKS (USTS), DETECT LEAKS AND SPILLS WHEN THEY DO OCCUR, AND SECURE PROMPT CLEANUP",Class
http://w3id.org/fio/v1/epa-frs#WasteWaterProgram,WASTE WATER PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT REGULATE DISCHARGES OF POLLUTANTS TO WATERS OF THE UNITED STATES, AS REQUIRED BY THE CLEAN WATER ACT.",Class
http://w3id.org/fio/v1/epa-frs#WaterResourcesProgram,WATER RESOURCES PROGRAMS,"ENVIRONMENTAL PROGRAMS THAT MANAGE WATER RESOURCES TO MEET THE NEEDS OF THE NATURAL ENVIRONMENT AND HUMAN COMMUNITIES, INCLUDING WATERSHED MANAGEMENT, STREAM FLOWS, WATER RIGHTS, WELL DRILLING, USE OF WATER SUPPLIES, AND DAM SAFETY.",Class
http://w3id.org/fio/v1/epa-frs#fromSystem,from System,Links a record to the information system it originated from,Predicate
http://w3id.org/fio/v1/epa-frs#hasEnvironmentalInterest,in program type,Links a facility to the environmental program types or interest classifications that apply to it,Predicate
http://w3id.org/fio/v1/epa-frs#hasFRSId,has FRS Id,has Identifier in EPA Facility Registry Service,Predicate
http://w3id.org/fio/v1/epa-frs#hasMonitoringRecord,has monitoring record,Links a facility to records that monitor it on an ongoing basis,Predicate
http://w3id.org/fio/v1/epa-frs#hasRecord,has  record,Links a facility to any type of environmental record associated with it,Predicate
http://w3id.org/fio/v1/epa-frs#hasSupplementalRecord,has supplemental record,Links a facility to supplemental records that provide additional information,Predicate
http://w3id.org/fio/v1/epa-frs#ofFacilityType,of facility type,Links a facility to its type classification in the EPA FRS controlled vocabulary,Predicate
http://w3id.org/fio/v1/epa-frs#ofInterestType,of program category,Links an environmental interest to its classification category,Predicate
http://w3id.org/fio/v1/epa-frs#ofPrimaryIndustry,of Primary Industry,Links a facility to its primary industry classification using NAICS codes,Predicate
http://w3id.org/fio/v1/epa-frs#ofSecondaryIndustry,of Secondary Industry,Links a facility to its secondary industry classification using NAICS codes,Predicate
http://w3id.org/fio/v1/epa-frs#partOf,part Of,Indicates hierarchical relationship - this entity is part of another entity,Predicate
http://w3id.org/fio/v1/epa-frs#replacedBy,replaced By,Indicates this entity has been superseded or replaced by another entity,Predicate
http://w3id.org/fio/v1/fio#Facility,Facility,"Any physical building, building complex or site (e.g. an airstrip, a mine, or superfund site) at which a commercial or institutional activity occurs.",Class
http://w3id.org/fio/v1/fio#Industry,Industry,A distinct group of productive or profit-making enterprises.,Class
http://w3id.org/fio/v1/fio#Organization,Organization,"An organized entity such as a company, government agency, or institution that owns or operates facilities",Class
http://w3id.org/fio/v1/fio#hasFacility,has Facility,Links an organization to facilities it owns or operates,Predicate
http://w3id.org/fio/v1/fio#ofIndustry,of industry,A relation between an entity and the industry it is classified under,Predicate
http://w3id.org/fio/v1/fio#ofYear,of Year,A relation between an industry code and the schema year it belongs to.,Predicate
http://w3id.org/fio/v1/fio#ownedBy,owned By,Links a facility to the organization that owns or operates it,Predicate
http://w3id.org/fio/v1/fio#sameCode,same code,Links two industry codes that have the same meaning across different NAICS schema versions,Predicate
http://w3id.org/fio/v1/fio#subcodeOf,subcode of,A hierarchical relation between an industry and its parent industry,Predicate
http://w3id.org/fio/v1/fio#yearDeprecated,year deprecated,A relation between an industry code and the schema year it was deprecated and removed as a industry code with the same meaning.,Predicate
http://w3id.org/fio/v1/naics#NAICS-Industry,NAICS Industry,North American Industry Classification System (NAICS) industry code - the most detailed level of industry classification (6 digits),Class
http://w3id.org/fio/v1/naics#NAICS-IndustryCode,NAICS Industry Code,A NAICS code that identifies a specific industry category at any level of the classification hierarchy,Class
http://w3id.org/fio/v1/naics#NAICS-IndustryGroup,NAICS Industry Group,NAICS industry group - an intermediate aggregation of industries (4 digits),Class
http://w3id.org/fio/v1/naics#NAICS-IndustrySector,NAICS Industry Sector,NAICS sector - the highest level of industry aggregation (2 digits),Class
http://w3id.org/fio/v1/naics#NAICS-IndustrySubsector,NAICS Industry Subsector,NAICS subsector - a subdivision of sectors into more specific industry categories (3 digits),Class
